item_id,year_month,total_value
FOODS_3_226,2011-02,4789
FOODS_3_226,2011-03,4858
FOODS_3_226,2011-04,4737
FOODS_3_226,2011-05,4654
FOODS_3_226,2011-06,4532
FOODS_3_226,2011-07,5498
FOODS_3_226,2011-08,5270
FOODS_3_226,2011-09,4108
FOODS_3_226,2011-10,4574
FOODS_3_226,2011-11,4925
FOODS_3_226,2011-12,5870
FOODS_3_226,2012-01,4252
FOODS_3_226,2012-02,4143
FOODS_3_226,2012-03,4774
FOODS_3_226,2012-04,5056
FOODS_3_226,2012-05,5899
FOODS_3_226,2012-06,6405
FOODS_3_226,2012-07,5937
FOODS_3_226,2012-08,6283
FOODS_3_226,2012-09,5635
FOODS_3_226,2012-10,5466
FOODS_3_226,2012-11,6321
FOODS_3_226,2012-12,6640
FOODS_3_226,2013-01,4974
FOODS_3_226,2013-02,6201
FOODS_3_226,2013-03,6978
FOODS_3_226,2013-04,5840
FOODS_3_226,2013-05,6498
FOODS_3_226,2013-06,6266
FOODS_3_226,2013-07,6671
FOODS_3_226,2013-08,7065
FOODS_3_226,2013-09,6606
FOODS_3_226,2013-10,6125
FOODS_3_226,2013-11,6135
FOODS_3_226,2013-12,6443
FOODS_3_226,2014-01,4808
FOODS_3_226,2014-02,5651
FOODS_3_226,2014-03,6167
FOODS_3_226,2014-04,6064
FOODS_3_226,2014-05,6245
FOODS_3_226,2014-06,6256
FOODS_3_226,2014-07,6859
FOODS_3_226,2014-08,7485
FOODS_3_226,2014-09,6206
FOODS_3_226,2014-10,6163
FOODS_3_226,2014-11,6140
FOODS_3_226,2014-12,6669
FOODS_3_226,2015-01,5294
FOODS_3_226,2015-02,5524
FOODS_3_226,2015-03,5666
FOODS_3_226,2015-04,5314
FOODS_3_226,2015-05,5260
FOODS_3_226,2015-06,5475
FOODS_3_226,2015-07,6540
FOODS_3_226,2015-08,6864
FOODS_3_226,2015-09,5942
FOODS_3_226,2015-10,6083
FOODS_3_226,2015-11,5683
FOODS_3_226,2015-12,6167
FOODS_3_226,2016-01,4976
FOODS_3_226,2016-02,5873
FOODS_3_226,2016-03,6109
FOODS_3_226,2016-04,4674
FOODS_3_252,2011-01,719
FOODS_3_252,2011-02,7187
FOODS_3_252,2011-03,7838
FOODS_3_252,2011-04,8562
FOODS_3_252,2011-05,9077
FOODS_3_252,2011-06,10255
FOODS_3_252,2011-07,11445
FOODS_3_252,2011-08,13079
FOODS_3_252,2011-09,10520
FOODS_3_252,2011-10,9590
FOODS_3_252,2011-11,8238
FOODS_3_252,2011-12,8044
FOODS_3_252,2012-01,6479
FOODS_3_252,2012-02,7267
FOODS_3_252,2012-03,8392
FOODS_3_252,2012-04,8258
FOODS_3_252,2012-05,10052
FOODS_3_252,2012-06,11018
FOODS_3_252,2012-07,10972
FOODS_3_252,2012-08,11974
FOODS_3_252,2012-09,9843
FOODS_3_252,2012-10,8952
FOODS_3_252,2012-11,8439
FOODS_3_252,2012-12,8281
FOODS_3_252,2013-01,6162
FOODS_3_252,2013-02,7083
FOODS_3_252,2013-03,8469
FOODS_3_252,2013-04,7836
FOODS_3_252,2013-05,9429
FOODS_3_252,2013-06,10982
FOODS_3_252,2013-07,11028
FOODS_3_252,2013-08,12633
FOODS_3_252,2013-09,9447
FOODS_3_252,2013-10,8079
FOODS_3_252,2013-11,7946
FOODS_3_252,2013-12,7406
FOODS_3_252,2014-01,6036
FOODS_3_252,2014-02,6594
FOODS_3_252,2014-03,8033
FOODS_3_252,2014-04,7927
FOODS_3_252,2014-05,9845
FOODS_3_252,2014-06,9710
FOODS_3_252,2014-07,10128
FOODS_3_252,2014-08,11107
FOODS_3_252,2014-09,8862
FOODS_3_252,2014-10,9214
FOODS_3_252,2014-11,7636
FOODS_3_252,2014-12,7981
FOODS_3_252,2015-01,6099
FOODS_3_252,2015-02,7092
FOODS_3_252,2015-03,8330
FOODS_3_252,2015-04,8387
FOODS_3_252,2015-05,8519
FOODS_3_252,2015-06,10305
FOODS_3_252,2015-07,12137
FOODS_3_252,2015-08,13461
FOODS_3_252,2015-09,10004
FOODS_3_252,2015-10,9559
FOODS_3_252,2015-11,8154
FOODS_3_252,2015-12,8802
FOODS_3_252,2016-01,6659
FOODS_3_252,2016-02,8159
FOODS_3_252,2016-03,8522
FOODS_3_252,2016-04,7056
FOODS_3_555,2011-01,850
FOODS_3_555,2011-02,7863
FOODS_3_555,2011-03,8909
FOODS_3_555,2011-04,9139
FOODS_3_555,2011-05,9202
FOODS_3_555,2011-06,9539
FOODS_3_555,2011-07,10719
FOODS_3_555,2011-08,12284
FOODS_3_555,2011-09,10373
FOODS_3_555,2011-10,10441
FOODS_3_555,2011-11,9776
FOODS_3_555,2011-12,10308
FOODS_3_555,2012-01,7745
FOODS_3_555,2012-02,8270
FOODS_3_555,2012-03,9288
FOODS_3_555,2012-04,8693
FOODS_3_555,2012-05,9378
FOODS_3_555,2012-06,9637
FOODS_3_555,2012-07,9538
FOODS_3_555,2012-08,10840
FOODS_3_555,2012-09,8729
FOODS_3_555,2012-10,8859
FOODS_3_555,2012-11,8979
FOODS_3_555,2012-12,9219
FOODS_3_555,2013-01,6828
FOODS_3_555,2013-02,7648
FOODS_3_555,2013-03,7368
FOODS_3_555,2013-04,6605
FOODS_3_555,2013-05,7411
FOODS_3_555,2013-06,7937
FOODS_3_555,2013-07,7884
FOODS_3_555,2013-08,8689
FOODS_3_555,2013-09,6897
FOODS_3_555,2013-10,7017
FOODS_3_555,2013-11,6967
FOODS_3_555,2013-12,7498
FOODS_3_555,2014-01,5697
FOODS_3_555,2014-02,6115
FOODS_3_555,2014-03,6453
FOODS_3_555,2014-04,6501
FOODS_3_555,2014-05,6854
FOODS_3_555,2014-06,7022
FOODS_3_555,2014-07,6987
FOODS_3_555,2014-08,6622
FOODS_3_555,2014-09,5980
FOODS_3_555,2014-10,6177
FOODS_3_555,2014-11,6271
FOODS_3_555,2014-12,7244
FOODS_3_555,2015-01,5658
FOODS_3_555,2015-02,6034
FOODS_3_555,2015-03,6475
FOODS_3_555,2015-04,5911
FOODS_3_555,2015-05,5966
FOODS_3_555,2015-06,6304
FOODS_3_555,2015-07,7394
FOODS_3_555,2015-08,8149
FOODS_3_555,2015-09,6833
FOODS_3_555,2015-10,7419
FOODS_3_555,2015-11,6805
FOODS_3_555,2015-12,7524
FOODS_3_555,2016-01,6025
FOODS_3_555,2016-02,6647
FOODS_3_555,2016-03,7009
FOODS_3_555,2016-04,5884
FOODS_3_586,2011-01,1323
FOODS_3_586,2011-02,13154
FOODS_3_586,2011-03,14416
FOODS_3_586,2011-04,15067
FOODS_3_586,2011-05,15437
FOODS_3_586,2011-06,15797
FOODS_3_586,2011-07,17017
FOODS_3_586,2011-08,19722
FOODS_3_586,2011-09,17292
FOODS_3_586,2011-10,18026
FOODS_3_586,2011-11,17153
FOODS_3_586,2011-12,18380
FOODS_3_586,2012-01,13819
FOODS_3_586,2012-02,14352
FOODS_3_586,2012-03,15666
FOODS_3_586,2012-04,15379
FOODS_3_586,2012-05,16086
FOODS_3_586,2012-06,16275
FOODS_3_586,2012-07,16271
FOODS_3_586,2012-08,18535
FOODS_3_586,2012-09,16306
FOODS_3_586,2012-10,16315
FOODS_3_586,2012-11,16141
FOODS_3_586,2012-12,17597
FOODS_3_586,2013-01,12920
FOODS_3_586,2013-02,13379
FOODS_3_586,2013-03,14443
FOODS_3_586,2013-04,12928
FOODS_3_586,2013-05,13940
FOODS_3_586,2013-06,15049
FOODS_3_586,2013-07,15352
FOODS_3_586,2013-08,17342
FOODS_3_586,2013-09,13858
FOODS_3_586,2013-10,13637
FOODS_3_586,2013-11,13627
FOODS_3_586,2013-12,14197
FOODS_3_586,2014-01,11000
FOODS_3_586,2014-02,11202
FOODS_3_586,2014-03,12239
FOODS_3_586,2014-04,12108
FOODS_3_586,2014-05,12818
FOODS_3_586,2014-06,13663
FOODS_3_586,2014-07,16799
FOODS_3_586,2014-08,18391
FOODS_3_586,2014-09,14442
FOODS_3_586,2014-10,14374
FOODS_3_586,2014-11,13355
FOODS_3_586,2014-12,14530
FOODS_3_586,2015-01,11123
FOODS_3_586,2015-02,11175
FOODS_3_586,2015-03,11721
FOODS_3_586,2015-04,11911
FOODS_3_586,2015-05,13398
FOODS_3_586,2015-06,14290
FOODS_3_586,2015-07,16012
FOODS_3_586,2015-08,16993
FOODS_3_586,2015-09,13416
FOODS_3_586,2015-10,14543
FOODS_3_586,2015-11,13733
FOODS_3_586,2015-12,14603
FOODS_3_586,2016-01,11367
FOODS_3_586,2016-02,12222
FOODS_3_586,2016-03,12556
FOODS_3_586,2016-04,10060
FOODS_3_587,2011-01,885
FOODS_3_587,2011-02,9979
FOODS_3_587,2011-03,9084
FOODS_3_587,2011-04,10215
FOODS_3_587,2011-05,9197
FOODS_3_587,2011-06,7798
FOODS_3_587,2011-07,8063
FOODS_3_587,2011-08,8825
FOODS_3_587,2011-09,7619
FOODS_3_587,2011-10,8079
FOODS_3_587,2011-11,8126
FOODS_3_587,2011-12,7168
FOODS_3_587,2012-01,8189
FOODS_3_587,2012-02,7377
FOODS_3_587,2012-03,8204
FOODS_3_587,2012-04,7381
FOODS_3_587,2012-05,8045
FOODS_3_587,2012-06,6050
FOODS_3_587,2012-07,5599
FOODS_3_587,2012-08,5895
FOODS_3_587,2012-09,5990
FOODS_3_587,2012-10,7316
FOODS_3_587,2012-11,6572
FOODS_3_587,2012-12,7050
FOODS_3_587,2013-01,7799
FOODS_3_587,2013-02,186
FOODS_3_587,2013-03,784
FOODS_3_587,2013-04,402
FOODS_3_587,2013-05,47
FOODS_3_587,2013-06,94
FOODS_3_587,2013-07,63
FOODS_3_587,2013-08,631
FOODS_3_587,2013-09,992
FOODS_3_587,2013-10,1616
FOODS_3_587,2013-11,1850
FOODS_3_587,2013-12,2101
FOODS_3_587,2014-01,3074
FOODS_3_587,2014-02,7248
FOODS_3_587,2014-03,7980
FOODS_3_587,2014-04,6828
FOODS_3_587,2014-05,6856
FOODS_3_587,2014-06,7632
FOODS_3_587,2014-07,6912
FOODS_3_587,2014-08,4747
FOODS_3_587,2014-09,3860
FOODS_3_587,2014-10,6627
FOODS_3_587,2014-11,9052
FOODS_3_587,2014-12,8141
FOODS_3_587,2015-01,8744
FOODS_3_587,2015-02,7397
FOODS_3_587,2015-03,8064
FOODS_3_587,2015-04,6918
FOODS_3_587,2015-05,7800
FOODS_3_587,2015-06,8212
FOODS_3_587,2015-07,8155
FOODS_3_587,2015-08,7570
FOODS_3_587,2015-09,7484
FOODS_3_587,2015-10,7907
FOODS_3_587,2015-11,6864
FOODS_3_587,2015-12,6839
FOODS_3_587,2016-01,8101
FOODS_3_587,2016-02,8204
FOODS_3_587,2016-03,7624
FOODS_3_587,2016-04,6008
FOODS_3_635,2011-01,399
FOODS_3_635,2011-02,2828
FOODS_3_635,2011-03,3745
FOODS_3_635,2011-04,4769
FOODS_3_635,2011-05,6071
FOODS_3_635,2011-06,8962
FOODS_3_635,2011-07,7774
FOODS_3_635,2011-08,5161
FOODS_3_635,2011-09,3678
FOODS_3_635,2011-10,2261
FOODS_3_635,2011-11,2054
FOODS_3_635,2011-12,2400
FOODS_3_635,2012-01,3654
FOODS_3_635,2012-02,3813
FOODS_3_635,2012-03,4097
FOODS_3_635,2012-04,4524
FOODS_3_635,2012-05,7883
FOODS_3_635,2012-06,9680
FOODS_3_635,2012-07,8440
FOODS_3_635,2012-08,9010
FOODS_3_635,2012-09,6335
FOODS_3_635,2012-10,5086
FOODS_3_635,2012-11,3020
FOODS_3_635,2012-12,2859
FOODS_3_635,2013-01,3199
FOODS_3_635,2013-02,4202
FOODS_3_635,2013-03,6326
FOODS_3_635,2013-04,5684
FOODS_3_635,2013-05,7325
FOODS_3_635,2013-06,10491
FOODS_3_635,2013-07,10423
FOODS_3_635,2013-08,10655
FOODS_3_635,2013-09,6108
FOODS_3_635,2013-10,2428
FOODS_3_635,2013-11,2612
FOODS_3_635,2013-12,2695
FOODS_3_635,2014-01,3161
FOODS_3_635,2014-02,3552
FOODS_3_635,2014-03,5131
FOODS_3_635,2014-04,5153
FOODS_3_635,2014-05,5373
FOODS_3_635,2014-06,6693
FOODS_3_635,2014-07,8055
FOODS_3_635,2014-08,7840
FOODS_3_635,2014-09,5461
FOODS_3_635,2014-10,248
FOODS_3_635,2014-11,758
FOODS_3_635,2014-12,2527
FOODS_3_635,2015-01,2785
FOODS_3_635,2015-02,2776
FOODS_3_635,2015-03,4668
FOODS_3_635,2015-04,729
FOODS_3_635,2015-05,8
FOODS_3_635,2015-06,3564
FOODS_3_635,2015-07,4380
FOODS_3_635,2015-08,5087
FOODS_3_635,2015-09,4356
FOODS_3_635,2015-10,1117
FOODS_3_635,2015-11,6
FOODS_3_635,2015-12,180
FOODS_3_635,2016-01,3033
FOODS_3_635,2016-02,2521
FOODS_3_635,2016-03,2320
FOODS_3_635,2016-04,1
FOODS_3_694,2011-01,708
FOODS_3_694,2011-02,6362
FOODS_3_694,2011-03,6260
FOODS_3_694,2011-04,6366
FOODS_3_694,2011-05,6118
FOODS_3_694,2011-06,6183
FOODS_3_694,2011-07,6830
FOODS_3_694,2011-08,7229
FOODS_3_694,2011-09,5621
FOODS_3_694,2011-10,5850
FOODS_3_694,2011-11,5880
FOODS_3_694,2011-12,7217
FOODS_3_694,2012-01,5155
FOODS_3_694,2012-02,4976
FOODS_3_694,2012-03,5621
FOODS_3_694,2012-04,5788
FOODS_3_694,2012-05,6487
FOODS_3_694,2012-06,7366
FOODS_3_694,2012-07,7289
FOODS_3_694,2012-08,7599
FOODS_3_694,2012-09,6701
FOODS_3_694,2012-10,6068
FOODS_3_694,2012-11,6831
FOODS_3_694,2012-12,7493
FOODS_3_694,2013-01,4909
FOODS_3_694,2013-02,6478
FOODS_3_694,2013-03,7665
FOODS_3_694,2013-04,6310
FOODS_3_694,2013-05,6743
FOODS_3_694,2013-06,6653
FOODS_3_694,2013-07,6683
FOODS_3_694,2013-08,7622
FOODS_3_694,2013-09,7090
FOODS_3_694,2013-10,7169
FOODS_3_694,2013-11,6817
FOODS_3_694,2013-12,6701
FOODS_3_694,2014-01,4749
FOODS_3_694,2014-02,5651
FOODS_3_694,2014-03,5994
FOODS_3_694,2014-04,5462
FOODS_3_694,2014-05,5754
FOODS_3_694,2014-06,5689
FOODS_3_694,2014-07,6313
FOODS_3_694,2014-08,6971
FOODS_3_694,2014-09,5635
FOODS_3_694,2014-10,5657
FOODS_3_694,2014-11,6012
FOODS_3_694,2014-12,6180
FOODS_3_694,2015-01,4921
FOODS_3_694,2015-02,5111
FOODS_3_694,2015-03,5716
FOODS_3_694,2015-04,5255
FOODS_3_694,2015-05,5764
FOODS_3_694,2015-06,5557
FOODS_3_694,2015-07,6182
FOODS_3_694,2015-08,6512
FOODS_3_694,2015-09,5674
FOODS_3_694,2015-10,6094
FOODS_3_694,2015-11,5990
FOODS_3_694,2015-12,6204
FOODS_3_694,2016-01,4745
FOODS_3_694,2016-02,5756
FOODS_3_694,2016-03,6496
FOODS_3_694,2016-04,5119
FOODS_3_714,2011-01,594
FOODS_3_714,2011-02,5401
FOODS_3_714,2011-03,5867
FOODS_3_714,2011-04,6754
FOODS_3_714,2011-05,7110
FOODS_3_714,2011-06,7687
FOODS_3_714,2011-07,9394
FOODS_3_714,2011-08,8710
FOODS_3_714,2011-09,5880
FOODS_3_714,2011-10,5353
FOODS_3_714,2011-11,5266
FOODS_3_714,2011-12,5529
FOODS_3_714,2012-01,4277
FOODS_3_714,2012-02,5058
FOODS_3_714,2012-03,5988
FOODS_3_714,2012-04,5888
FOODS_3_714,2012-05,6845
FOODS_3_714,2012-06,8883
FOODS_3_714,2012-07,8689
FOODS_3_714,2012-08,8127
FOODS_3_714,2012-09,6218
FOODS_3_714,2012-10,5574
FOODS_3_714,2012-11,5475
FOODS_3_714,2012-12,5259
FOODS_3_714,2013-01,3693
FOODS_3_714,2013-02,5405
FOODS_3_714,2013-03,6946
FOODS_3_714,2013-04,6334
FOODS_3_714,2013-05,7096
FOODS_3_714,2013-06,8034
FOODS_3_714,2013-07,7825
FOODS_3_714,2013-08,8109
FOODS_3_714,2013-09,6801
FOODS_3_714,2013-10,6542
FOODS_3_714,2013-11,5866
FOODS_3_714,2013-12,5829
FOODS_3_714,2014-01,4473
FOODS_3_714,2014-02,4836
FOODS_3_714,2014-03,6232
FOODS_3_714,2014-04,6537
FOODS_3_714,2014-05,7368
FOODS_3_714,2014-06,7649
FOODS_3_714,2014-07,8422
FOODS_3_714,2014-08,8946
FOODS_3_714,2014-09,6485
FOODS_3_714,2014-10,6101
FOODS_3_714,2014-11,5857
FOODS_3_714,2014-12,5859
FOODS_3_714,2015-01,4807
FOODS_3_714,2015-02,4839
FOODS_3_714,2015-03,5229
FOODS_3_714,2015-04,4796
FOODS_3_714,2015-05,5623
FOODS_3_714,2015-06,6318
FOODS_3_714,2015-07,7513
FOODS_3_714,2015-08,8010
FOODS_3_714,2015-09,6341
FOODS_3_714,2015-10,5854
FOODS_3_714,2015-11,5041
FOODS_3_714,2015-12,4941
FOODS_3_714,2016-01,4096
FOODS_3_714,2016-02,5035
FOODS_3_714,2016-03,5747
FOODS_3_714,2016-04,4911
FOODS_3_723,2011-01,744
FOODS_3_723,2011-02,1958
FOODS_3_723,2011-03,0
FOODS_3_723,2011-04,0
FOODS_3_723,2011-05,3
FOODS_3_723,2011-06,1
FOODS_3_723,2011-07,0
FOODS_3_723,2011-08,0
FOODS_3_723,2011-09,1391
FOODS_3_723,2011-10,6780
FOODS_3_723,2011-11,7508
FOODS_3_723,2011-12,7985
FOODS_3_723,2012-01,6156
FOODS_3_723,2012-02,6086
FOODS_3_723,2012-03,5890
FOODS_3_723,2012-04,5160
FOODS_3_723,2012-05,4826
FOODS_3_723,2012-06,4585
FOODS_3_723,2012-07,5505
FOODS_3_723,2012-08,5592
FOODS_3_723,2012-09,5705
FOODS_3_723,2012-10,5446
FOODS_3_723,2012-11,7294
FOODS_3_723,2012-12,9718
FOODS_3_723,2013-01,6504
FOODS_3_723,2013-02,6368
FOODS_3_723,2013-03,6545
FOODS_3_723,2013-04,5112
FOODS_3_723,2013-05,5124
FOODS_3_723,2013-06,4710
FOODS_3_723,2013-07,4863
FOODS_3_723,2013-08,7184
FOODS_3_723,2013-09,10466
FOODS_3_723,2013-10,6005
FOODS_3_723,2013-11,5470
FOODS_3_723,2013-12,7519
FOODS_3_723,2014-01,5358
FOODS_3_723,2014-02,1210
FOODS_3_723,2014-03,3760
FOODS_3_723,2014-04,4868
FOODS_3_723,2014-05,2183
FOODS_3_723,2014-06,3037
FOODS_3_723,2014-07,4749
FOODS_3_723,2014-08,4298
FOODS_3_723,2014-09,4415
FOODS_3_723,2014-10,4168
FOODS_3_723,2014-11,4681
FOODS_3_723,2014-12,31
FOODS_3_723,2015-01,4430
FOODS_3_723,2015-02,1816
FOODS_3_723,2015-03,2863
FOODS_3_723,2015-04,4836
FOODS_3_723,2015-05,2422
FOODS_3_723,2015-06,3981
FOODS_3_723,2015-07,5781
FOODS_3_723,2015-08,5320
FOODS_3_723,2015-09,5063
FOODS_3_723,2015-10,4750
FOODS_3_723,2015-11,5024
FOODS_3_723,2015-12,348
FOODS_3_723,2016-01,4833
FOODS_3_723,2016-02,5588
FOODS_3_723,2016-03,5760
FOODS_3_723,2016-04,4557
